name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y
Koen Casteels,GK,BEL,13944,11952,150,150,13500,150.0,0,0,0,0,0,0,12,0,0.0,0.0,1.2000000000000002,1.2000000000000002,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.16666666666666669,GER-Bundesliga,Wolfsburg,31-339,GK
Mark Flekken,GK,NED,13944,11958,222,222,19710,219.0,0,6,6,0,0,0,18,0,0.0,0.0,3.0,3.0,0,30,0,0.0,0.18,0.18,0.0,0.18,0.0,0.06,0.06,0.0,0.06,540,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.16666666666666669,ENG-Premier League,Brentford,30-351,GK
Rui Patrício,GK,POR,13944,11928,138,138,12420,138.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0.33333333333333337,ITA-Serie A,Roma,36-104,GK
Manor Solomon,FW,ISR,13944,11994,30,12,1194,13.200000000000001,0,12,12,0,0,0,6,0,2.4000000000000004,2.4000000000000004,4.800000000000001,7.199999999999999,102,66,264,0.0,5.4,5.4,0.0,5.4,1.1400000000000001,2.2800000000000002,3.3600000000000003,1.1400000000000001,3.3600000000000003,540,1,1,0,0,20,5,0,0,4,7,0,23,4,2,0,0,0,0,0,0,0.0,ENG-Premier League,Tottenham,24-310,"LM,FW"
Rade Krunić,MF,BIH,13944,11958,60,48,4122,45.599999999999994,0,0,0,0,0,0,18,0,0.6000000000000001,0.6000000000000001,3.0,3.5999999999999996,30,144,18,0.0,0.0,0.0,0.0,0.0,0.12,0.42000000000000004,0.48,0.12,0.48,538,2,0,0,0,3,3,2,0,5,11,0,3,4,4,0,0,0,0,0,0,0.0,ITA-Serie A,Milan,30-235,"CM,DM,AM"
Norbert Gyömbér,DF,SVK,18592,15936,176,160,14080,156.8,0,0,0,0,0,0,72,0,1.6,1.6,1.6,2.4,32,336,16,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,535,0,0,0,0,3,0,1,0,3,0,0,1,3,4,0,0,0,0,0,0,0.0,ITA-Serie A,Salernitana,31-331,"RB,CB,DF,MF"
Ibrahima Konaté,DF,FRA,13944,11994,132,102,9444,105.0,0,0,0,0,0,0,30,6,4.199999999999999,4.199999999999999,2.4000000000000004,6.6000000000000005,144,708,18,0.0,0.0,0.0,0.0,0.0,0.24,0.12,0.36,0.24,0.36,533,0,0,0,0,2,2,1,0,8,4,0,0,6,4,0,0,0,0,0,0,0.0,ENG-Premier League,Liverpool,25-004,CB
Dayot Upamecano,DF,FRA,13944,11988,150,114,10572,117.60000000000001,6,0,6,6,0,0,18,6,10.2,10.2,3.0,12.600000000000001,168,822,60,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.48,0.12,0.66,0.48,0.66,530,1,0,0,0,5,3,1,0,7,1,0,0,4,3,0,0,0,0,0,0,0.0,GER-Bundesliga,Bayern Munich,25-215,CB
Robin Le Normand,DF,ESP,16268,13972,203,196,17283,191.79999999999998,14,0,14,14,0,0,91,0,7.0,7.0,0.7000000000000001,8.4,147,742,7,0.49000000000000005,0.0,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.28,0.0,0.28,0.28,0.28,530,1,0,0,0,6,1,2,0,3,2,0,0,3,3,0,0,0,0,0,0,0.0,ESP-La Liga,Real Sociedad,27-200,CB
David Jurásek,DF,CZE,16268,14000,91,28,3472,38.5,0,7,7,0,0,0,7,0,1.4000000000000001,1.4000000000000001,7.0,7.700000000000001,84,84,266,0.0,1.26,1.26,0.0,1.26,0.21,1.26,1.47,0.21,1.47,529,0,1,0,0,1,0,0,0,5,6,0,47,2,3,0,0,0,0,0,0,0.0,GER-Bundesliga,Hoffenheim,23-296,"LB,DM,MF,LM"
